datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2026-02-10 11:29:37,1000,48,W+1.0,-15.263693,16.0
2026-02-10 12:32:56,2000,48,W+1.0,-30.527386,0.736307
2026-02-10 13:32:36,3000,45,B+1.0,-14.527386,-45.791079
2026-02-10 14:37:08,4000,44,W+1.0,-29.791079,1.472614
2026-02-10 15:38:07,5000,45,B+1.0,-13.791079,-45.054772
2026-02-10 16:38:58,6000,40,B+1.0,2.208921,-29.054772
2026-02-10 17:41:26,7000,41,W+1.0,-13.054772,18.208921
2026-02-10 18:44:09,8000,36,B+1.0,2.945228,-28.318465
2026-02-10 19:45:28,9000,35,W+1.0,-12.318465,18.945228
2026-02-10 20:46:53,10000,37,B+1.0,3.681535,-27.582158
2026-02-10 21:50:28,11000,37,W+1.0,-11.582158,19.681535
2026-02-10 22:52:29,12000,32,B+1.0,4.417842,-26.845851
2026-02-10 23:52:55,13000,32,B+1.0,20.417842,-10.845851
2026-02-11 00:55:23,14000,35,W+1.0,5.154149,36.417842
2026-02-11 01:57:16,15000,34,B+1.0,21.154149,-10.109544
2026-02-11 03:00:27,16000,32,B+1.0,37.154149,5.890456
2026-02-11 04:02:39,17000,30,B+1.0,53.154149,21.890456
2026-02-11 05:04:39,18000,28,B+1.0,69.154149,37.890456
2026-02-11 06:07:15,19000,29,B+1.0,85.154149,53.890456
2026-02-11 07:08:46,20000,28,B+1.0,101.154149,69.890456
2026-02-11 08:09:29,21000,25,W+1.0,85.890456,117.154149
2026-02-11 09:10:53,22000,23,B+1.0,101.890456,70.626763
2026-02-11 10:14:20,23000,23,B+1.0,117.890456,86.626763
2026-02-11 11:17:11,24000,28,W+1.0,102.626763,133.890456
2026-02-11 12:19:21,25000,23,W+1.0,87.36307,118.626763
2026-02-11 13:19:14,26000,24,W+1.0,72.099377,103.36307
2026-02-11 14:21:15,27000,24,B+1.0,88.099377,56.835684
2026-02-11 15:22:41,28000,25,B+1.0,104.099377,72.835684
2026-02-11 16:24:59,29000,20,B+1.0,120.099377,88.835684
2026-02-11 17:28:09,30000,20,W+1.0,104.835684,136.099377
2026-02-11 18:30:08,31000,20,B+1.0,120.835684,89.571991
2026-02-11 19:31:38,32000,22,B+1.0,136.835684,105.571991
2026-02-11 20:33:28,33000,22,W+1.0,121.571991,152.835684
2026-02-11 21:36:56,34000,21,W+1.0,106.308298,137.571991
2026-02-11 22:37:53,35000,21,B+1.0,122.308298,91.044605
2026-02-11 23:40:53,36000,23,W+1.0,107.044605,138.308298
2026-02-12 00:43:19,37000,18,B+1.0,123.044605,91.780912
2026-02-12 01:43:29,38000,21,B+1.0,139.044605,107.780912
2026-02-12 02:45:09,39000,19,B+1.0,155.044605,123.780912
2026-02-12 03:49:17,40000,19,B+1.0,171.044605,139.780912
2026-02-12 04:50:23,41000,21,W+1.0,155.780912,187.044605
2026-02-12 05:51:24,42000,17,W+1.0,140.517219,171.780912
2026-02-12 06:54:21,43000,21,B+1.0,156.517219,125.253526
2026-02-12 07:56:03,44000,17,B+1.0,172.517219,141.253526
2026-02-12 08:59:09,45000,18,W+1.0,157.253526,188.517219
2026-02-12 09:59:18,46000,18,B+1.0,173.253526,141.989833
2026-02-12 11:03:24,47000,19,B+1.0,189.253526,157.989833
2026-02-12 12:05:15,48000,17,W+1.0,173.989833,205.253526
2026-02-12 13:05:05,49000,15,B+1.0,189.989833,158.72614
2026-02-12 14:07:03,50000,14,W+1.0,174.72614,205.989833
