datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2026-02-10 11:34:29,500,51,W+1.0,-15.263693,16.0
2026-02-10 12:05:30,1000,46,W+1.0,-30.527386,0.736307
2026-02-10 12:36:27,1500,46,B+1.0,-14.527386,-45.791079
2026-02-10 13:08:34,2000,49,B+1.0,1.472614,-29.791079
2026-02-10 13:39:34,2500,46,W+1.0,-13.791079,17.472614
2026-02-10 14:10:23,3000,41,B+1.0,2.208921,-29.054772
2026-02-10 14:40:37,3500,45,W+1.0,-13.054772,18.208921
2026-02-10 15:12:59,4000,44,B+1.0,2.945228,-28.318465
2026-02-10 15:43:31,4500,41,B+1.0,18.945228,-12.318465
2026-02-10 16:15:00,5000,43,W+1.0,3.681535,34.945228
2026-02-10 16:45:49,5500,40,W+1.0,-11.582158,19.681535
2026-02-10 17:16:05,6000,40,W+1.0,-26.845851,4.417842
2026-02-10 17:46:47,6500,38,B+1.0,-10.845851,-42.109544
2026-02-10 18:17:58,7000,34,W+1.0,-26.109544,5.154149
2026-02-10 18:49:49,7500,37,B+1.0,-10.109544,-41.373237
2026-02-10 19:19:38,8000,36,W+1.0,-25.373237,5.890456
2026-02-10 19:51:22,8500,31,B+1.0,-9.373237,-40.63693
2026-02-10 20:22:38,9000,33,B+1.0,6.626763,-24.63693
2026-02-10 20:53:41,9500,35,B+1.0,22.626763,-8.63693
2026-02-10 21:23:44,10000,33,W+1.0,7.36307,38.626763
2026-02-10 21:55:02,10500,31,B+1.0,23.36307,-7.900623
2026-02-10 22:26:41,11000,30,W+1.0,8.099377,39.36307
2026-02-10 22:57:44,11500,27,B+1.0,24.099377,-7.164316
2026-02-10 23:28:28,12000,28,W+1.0,8.835684,40.099377
2026-02-11 00:00:42,12500,30,W+1.0,-6.428009,24.835684
2026-02-11 00:30:31,13000,30,W+1.0,-21.691702,9.571991
2026-02-11 01:01:41,13500,30,B+1.0,-5.691702,-36.955395
2026-02-11 01:33:35,14000,26,B+1.0,10.308298,-20.955395
2026-02-11 02:04:19,14500,27,B+1.0,26.308298,-4.955395
2026-02-11 02:35:26,15000,24,W+1.0,11.044605,42.308298
2026-02-11 03:05:56,15500,27,B+1.0,27.044605,-4.219088
2026-02-11 03:37:20,16000,22,W+1.0,11.780912,43.044605
2026-02-11 04:08:40,16500,21,B+1.0,27.780912,-3.482781
2026-02-11 04:38:59,17000,24,B+1.0,43.780912,12.517219
2026-02-11 05:10:52,17500,26,B+1.0,59.780912,28.517219
2026-02-11 05:41:18,18000,20,B+1.0,75.780912,44.517219
2026-02-11 06:13:02,18500,23,B+1.0,91.780912,60.517219
2026-02-11 06:43:26,19000,23,B+1.0,107.780912,76.517219
2026-02-11 07:14:20,19500,25,B+1.0,123.780912,92.517219
2026-02-11 07:44:56,20000,22,B+1.0,139.780912,108.517219
2026-02-11 08:16:29,20500,24,B+1.0,155.780912,124.517219
2026-02-11 08:47:56,21000,24,B+1.0,171.780912,140.517219
2026-02-11 09:17:39,21500,18,W+1.0,156.517219,187.780912
2026-02-11 09:48:43,22000,23,B+1.0,172.517219,141.253526
2026-02-11 10:20:17,22500,23,B+1.0,188.517219,157.253526
2026-02-11 10:50:45,23000,20,B+1.0,204.517219,173.253526
2026-02-11 11:22:21,23500,17,B+1.0,220.517219,189.253526
2026-02-11 11:52:43,24000,20,W+1.0,205.253526,236.517219
2026-02-11 12:25:15,24500,17,B+1.0,221.253526,189.989833
2026-02-11 12:56:24,25000,23,W+1.0,205.989833,237.253526
2026-02-11 13:25:56,25500,20,W+1.0,190.72614,221.989833
2026-02-11 13:57:19,26000,21,W+1.0,175.462447,206.72614
2026-02-11 14:28:28,26500,17,B+1.0,191.462447,160.198754
2026-02-11 14:58:59,27000,16,B+1.0,207.462447,176.198754
2026-02-11 15:31:34,27500,16,W+1.0,192.198754,223.462447
2026-02-11 16:02:04,28000,20,B+1.0,208.198754,176.935061
2026-02-11 16:32:07,28500,19,W+1.0,192.935061,224.198754
2026-02-11 17:04:10,29000,20,W+1.0,177.671368,208.935061
2026-02-11 17:35:18,29500,18,B+1.0,193.671368,162.407675
2026-02-11 18:05:26,30000,21,W+1.0,178.407675,209.671368
2026-02-11 18:37:49,30500,15,W+1.0,163.143982,194.407675
2026-02-11 19:08:55,31000,19,W+1.0,147.880289,179.143982
2026-02-11 19:39:45,31500,15,B+1.0,163.880289,132.616596
2026-02-11 20:09:36,32000,20,B+1.0,179.880289,148.616596
2026-02-11 20:40:32,32500,19,B+1.0,195.880289,164.616596
2026-02-11 21:12:01,33000,20,B+1.0,211.880289,180.616596
2026-02-11 21:42:51,33500,17,B+1.0,227.880289,196.616596
2026-02-11 22:14:22,34000,15,W+1.0,212.616596,243.880289
2026-02-11 22:45:10,34500,17,B+1.0,228.616596,197.352903
2026-02-11 23:16:37,35000,20,B+1.0,244.616596,213.352903
